Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Andhra Pradesh, 31-01-2016, M, 17.91, 20626291.00, 62.67
Andhra Pradesh, 29-02-2016, M, 9.98, 19334918.00, 53.50
Andhra Pradesh, 31-03-2016, M, 10.72, 19646970.00, 54.73
Andhra Pradesh, 30-04-2016, M, 5.51, 18929583.00, 49.76
Andhra Pradesh, 31-05-2016, M, 6.29, 21163390.00, 56.02
Andhra Pradesh, 30-06-2016, M, 4.51, 18431598.00, 47.81
Andhra Pradesh, 31-07-2016, M, 4.87, 19486726.00, 50.67
Andhra Pradesh, 31-08-2016, M, 4.03, 18826519.00, 48.45
Andhra Pradesh, 30-09-2016, M, 7.60, 19863483.00, 53.02
Andhra Pradesh, 31-10-2016, M, 10.06, 19151488.00, 52.44
Andhra Pradesh, 30-11-2016, M, 5.23, 19046358.00, 49.43
Andhra Pradesh, 31-12-2016, M, 4.64, 18235985.00, 46.97
Andhra Pradesh, 31-01-2017, M, 5.85, 19480036.00, 50.74
Andhra Pradesh, 28-02-2017, M, 4.75, 18231391.00, 46.88
Andhra Pradesh, 31-03-2017, M, 3.06, 18418217.00, 46.47
Andhra Pradesh, 30-04-2017, M, 3.52, 18173679.00, 46.01
Andhra Pradesh, 31-05-2017, M, 2.30, 17992099.00, 44.91
Andhra Pradesh, 30-06-2017, M, 3.65, 17724207.00, 44.80
Andhra Pradesh, 31-07-2017, M, 2.66, 17953658.00, 44.85
Andhra Pradesh, 31-08-2017, M, 3.43, 17774825.00, 44.70
Andhra Pradesh, 30-09-2017, M, 6.59, 18595636.00, 48.28
Andhra Pradesh, 31-10-2017, M, 3.51, 17233209.00, 43.25
Andhra Pradesh, 30-11-2017, M, 3.32, 18182263.00, 45.48
Andhra Pradesh, 31-12-2017, M, 4.01, 18593687.00, 46.77
Andhra Pradesh, 31-01-2018, M, 5.79, 17947085.00, 45.93
Andhra Pradesh, 28-02-2018, M, 3.97, 17568645.00, 44.06
Andhra Pradesh, 31-03-2018, M, 4.22, 17247729.00, 43.30
Andhra Pradesh, 30-04-2018, M, 3.65, 17084469.00, 42.58
Andhra Pradesh, 31-05-2018, M, 4.01, 17078661.00, 42.66
Andhra Pradesh, 30-06-2018, M, 4.51, 16524370.00, 41.44
Andhra Pradesh, 31-07-2018, M, 5.25, 17438268.00, 44.01
Andhra Pradesh, 31-08-2018, M, 4.33, 17247277.00, 43.05
Andhra Pradesh, 30-09-2018, M, 4.88, 17200185.00, 43.11
Andhra Pradesh, 31-10-2018, M, 5.56, 15617337.00, 39.37
Andhra Pradesh, 30-11-2018, M, 5.24, 16856909.00, 42.29
Andhra Pradesh, 31-12-2018, M, 4.20, 17094902.00, 42.37
Andhra Pradesh, 31-01-2019, M, 5.21, 17525876.00, 43.83
Andhra Pradesh, 28-02-2019, M, 5.76, 15705618.00, 39.46
Andhra Pradesh, 31-03-2019, M, 5.17, 16300531.00, 40.64
Andhra Pradesh, 30-04-2019, M, 4.02, 17501776.00, 43.05
Andhra Pradesh, 31-05-2019, M, 4.36, 16787801.00, 41.38
Andhra Pradesh, 30-06-2019, M, 3.27, 16580510.00, 40.35
Andhra Pradesh, 31-07-2019, M, 4.29, 16744148.00, 41.12
Andhra Pradesh, 31-08-2019, M, 3.68, 17028869.00, 41.50
Andhra Pradesh, 30-09-2019, M, 5.41, 16990761.00, 42.11
Andhra Pradesh, 31-10-2019, M, 3.86, 16791781.00, 40.88
Andhra Pradesh, 30-11-2019, M, 5.14, 16066455.00, 39.59
Andhra Pradesh, 31-12-2019, M, 5.39, 17442360.00, 43.03
Andhra Pradesh, 31-01-2020, M, 5.48, 16635535.00, 41.02
Andhra Pradesh, 29-02-2020, M, 5.83, 16545652.00, 40.90
Andhra Pradesh, 31-03-2020, M, 5.79, 15881197.00, 39.18
Andhra Pradesh, 30-04-2020, M, 20.51, 11336911.00, 33.10
Andhra Pradesh, 31-05-2020, M, 17.43, 12988845.00, 36.46
Andhra Pradesh, 30-06-2020, M, 3.31, 19805400.00, 47.41
Andhra Pradesh, 31-07-2020, M, 8.34, 15431615.00, 38.91
Andhra Pradesh, 31-08-2020, M, 6.96, 15251776.00, 37.83
Andhra Pradesh, 30-09-2020, M, 6.40, 15220312.00, 37.47
Andhra Pradesh, 31-10-2020, M, 6.64, 15140379.00, 37.32
Andhra Pradesh, 30-11-2020, M, 6.02, 15478231.00, 37.84
Andhra Pradesh, 31-12-2020, M, 6.71, 15854431.00, 39.00
Andhra Pradesh, 31-01-2021, M, 4.48, 16516412.00, 39.62
Andhra Pradesh, 28-02-2021, M, 3.74, 16736552.00, 39.78
Andhra Pradesh, 31-03-2021, M, 5.88, 15752408.00, 38.24
Andhra Pradesh, 30-04-2021, M, 4.91, 15834266.00, 37.99
Andhra Pradesh, 31-05-2021, M, 12.83, 15092065.00, 39.44
Andhra Pradesh, 30-06-2021, M, 7.43, 15559239.00, 38.24
Andhra Pradesh, 31-07-2021, M, 8.68, 15485255.00, 38.52
Andhra Pradesh, 31-08-2021, M, 6.49, 16159788.00, 39.20
Andhra Pradesh, 30-09-2021, M, 6.07, 16977784.00, 40.94
Andhra Pradesh, 31-10-2021, M, 5.37, 15875697.00, 37.95
Andhra Pradesh, 30-11-2021, M, 6.33, 15849249.00, 38.22
Andhra Pradesh, 31-12-2021, M, 5.62, 16915954.00, 40.43
Andhra Pradesh, 31-01-2022, M, 6.17, 15675627.00, 37.63
Andhra Pradesh, 28-02-2022, M, 7.10, 15515845.00, 37.57
Andhra Pradesh, 31-03-2022, M, 9.16, 15285329.00, 37.79
Andhra Pradesh, 30-04-2022, M, 5.30, 16598072.00, 39.31
Andhra Pradesh, 31-05-2022, M, 4.37, 15968048.00, 37.39
